Nationalities,Year,Liczba Kierowców,Country
Danish,1985,2,Denmark
Danish,1986,2,Denmark
Danish,1987,2,Denmark
Danish,1988,2,Denmark
Danish,1989,2,Denmark
Danish,1990,2,Denmark
Danish,1991,2,Denmark
Danish,1992,2,Denmark
Danish,1993,2,Denmark
Danish,1994,2,Denmark
Danish,1995,3,Denmark
Danish,1996,3,Denmark
Danish,1997,3,Denmark
Danish,1998,3,Denmark
Danish,1999,3,Denmark
Danish,2000,3,Denmark
Danish,2001,3,Denmark
Danish,2002,3,Denmark
Danish,2003,4,Denmark
Danish,2004,4,Denmark
Danish,2005,4,Denmark
Danish,2006,4,Denmark
Danish,2007,4,Denmark
Danish,2008,4,Denmark
Danish,2009,4,Denmark
Danish,2010,4,Denmark
Danish,2011,4,Denmark
Danish,2012,4,Denmark
Danish,2013,4,Denmark
Danish,2014,5,Denmark
Danish,2015,5,Denmark
Danish,2016,5,Denmark
Danish,2017,5,Denmark
Danish,2018,5,Denmark
Danish,2019,5,Denmark
Danish,2020,5,Denmark
Danish,2021,5,Denmark
Danish,2022,5,Denmark
,,,
,,,
Dutch,1952,2,Netherlands
Dutch,1953,2,Netherlands
Dutch,1954,2,Netherlands
Dutch,1955,2,Netherlands
Dutch,1956,2,Netherlands
Dutch,1957,3,Netherlands
Dutch,1958,3,Netherlands
Dutch,1959,3,Netherlands
Dutch,1960,3,Netherlands
Dutch,1961,3,Netherlands
Dutch,1962,5,Netherlands
Dutch,1963,6,Netherlands
Dutch,1964,6,Netherlands
Dutch,1965,6,Netherlands
Dutch,1966,6,Netherlands
Dutch,1967,6,Netherlands
Dutch,1968,6,Netherlands
Dutch,1969,6,Netherlands
Dutch,1970,6,Netherlands
Dutch,1971,7,Netherlands
Dutch,1972,7,Netherlands
Dutch,1973,7,Netherlands
Dutch,1974,7,Netherlands
Dutch,1975,8,Netherlands
Dutch,1976,9,Netherlands
Dutch,1977,10,Netherlands
Dutch,1978,10,Netherlands
Dutch,1979,11,Netherlands
Dutch,1980,11,Netherlands
Dutch,1981,11,Netherlands
Dutch,1982,11,Netherlands
Dutch,1983,11,Netherlands
Dutch,1984,12,Netherlands
Dutch,1985,12,Netherlands
Dutch,1986,12,Netherlands
Dutch,1987,12,Netherlands
Dutch,1988,12,Netherlands
Dutch,1989,12,Netherlands
Dutch,1990,12,Netherlands
Dutch,1991,12,Netherlands
Dutch,1992,12,Netherlands
Dutch,1993,12,Netherlands
Dutch,1994,13,Netherlands
Dutch,1995,13,Netherlands
Dutch,1996,13,Netherlands
Dutch,1997,13,Netherlands
Dutch,1998,13,Netherlands
Dutch,1999,13,Netherlands
Dutch,2000,13,Netherlands
Dutch,2001,13,Netherlands
Dutch,2002,13,Netherlands
Dutch,2003,13,Netherlands
Dutch,2004,13,Netherlands
Dutch,2005,15,Netherlands
Dutch,2006,15,Netherlands
Dutch,2007,15,Netherlands
Dutch,2008,15,Netherlands
Dutch,2009,15,Netherlands
Dutch,2010,15,Netherlands
Dutch,2011,15,Netherlands
Dutch,2012,15,Netherlands
Dutch,2013,16,Netherlands
Dutch,2014,16,Netherlands
Dutch,2015,17,Netherlands
Dutch,2016,17,Netherlands
