raceId,year,Age
248,1995,29.833333333333332
249,1995,29.416666666666668
250,1995,29.416666666666668
251,1995,29.416666666666668
252,1995,29.208333333333332
253,1995,29.25
254,1995,29.041666666666668
255,1995,29.291666666666668
256,1995,29.333333333333332
257,1994,29.142857142857142
258,1994,29.321428571428573
259,1994,29.571428571428573
260,1994,29.23076923076923
261,1994,29.14814814814815
262,1994,29.333333333333332
263,1994,29.821428571428573
264,1994,29.178571428571427
265,1994,29.178571428571427
266,1994,29.678571428571427
267,1994,29.607142857142858
268,1994,29.571428571428573
269,1994,29.464285714285715
270,1994,29.678571428571427
271,1994,29.642857142857142
272,1994,29.5
273,1993,30.653846153846153
274,1993,30.653846153846153
275,1993,30.884615384615383
276,1993,30.884615384615383
277,1993,30.884615384615383
278,1993,30.884615384615383
279,1993,30.884615384615383
280,1993,30.884615384615383
281,1993,30.96153846153846
282,1993,30.96153846153846
283,1993,30.96153846153846
284,1993,30.96153846153846
285,1993,30.423076923076923
286,1993,30.076923076923077
287,1993,30.541666666666668
288,1993,30.541666666666668
289,1992,30.0
290,1992,30.0
291,1992,30.0
292,1992,30.09375
293,1992,30.09375
294,1992,30.09375
295,1992,30.06451612903226
296,1992,29.966666666666665
297,1992,30.25
298,1992,30.25
299,1992,30.322580645161292
300,1992,29.933333333333334
301,1992,29.785714285714285
302,1992,29.73076923076923
303,1992,30.153846153846153
304,1992,30.153846153846153
305,1991,30.41176470588235
306,1991,30.41176470588235
307,1991,30.205882352941178
308,1991,30.205882352941178
309,1991,30.352941176470587
310,1991,30.352941176470587
311,1991,30.352941176470587
312,1991,30.352941176470587
313,1991,30.0
314,1991,30.0
315,1991,29.91176470588235
316,1991,29.794117647058822
317,1991,29.91176470588235
318,1991,29.696969696969695
319,1991,29.46875
320,1991,29.40625
321,1990,30.17142857142857
322,1990,30.17142857142857
323,1990,30.34285714285714
324,1990,30.34285714285714
325,1990,30.34285714285714
326,1990,30.34285714285714
327,1990,30.34285714285714
328,1990,30.34285714285714
329,1990,30.34285714285714
330,1990,30.34285714285714
331,1990,30.696969696969695
332,1990,30.696969696969695
333,1990,30.696969696969695
334,1990,30.696969696969695
335,1990,30.233333333333334
336,1990,30.233333333333334
337,2010,28.458333333333332
338,2010,28.458333333333332
339,2010,28.458333333333332
340,2010,28.458333333333332
341,2010,28.458333333333332
342,2010,28.458333333333332
343,2010,28.458333333333332
344,2010,28.458333333333332
345,2010,28.458333333333332
346,2010,28.5
347,2010,28.541666666666668
348,2010,28.541666666666668
349,2010,28.541666666666668
350,2010,28.541666666666668
351,2010,28.25
352,2010,28.291666666666668
353,2010,28.291666666666668
354,2010,28.25
355,2010,28.25
356,1989,30.44736842105263
357,1989,30.358974358974358
358,1989,30.36842105263158
359,1989,30.358974358974358
360,1989,30.358974358974358
361,1989,30.358974358974358
362,1989,29.871794871794872
363,1989,30.102564102564102
364,1989,30.44736842105263
365,1989,30.307692307692307
366,1989,30.256410256410255
367,1989,30.53846153846154
368,1989,30.435897435897434
369,1989,30.105263157894736
370,1989,30.333333333333332
371,1989,30.333333333333332
372,1988,30.322580645161292
373,1988,30.533333333333335
374,1988,30.322580645161292
375,1988,30.322580645161292
376,1988,30.322580645161292
377,1988,30.29032258064516
378,1988,30.29032258064516
379,1988,30.29032258064516
380,1988,30.29032258064516
381,1988,30.29032258064516
382,1988,30.096774193548388
383,1988,30.451612903225808
384,1988,30.29032258064516
385,1988,30.29032258064516
386,1988,30.322580645161292
387,1988,30.29032258064516
388,1987,29.82608695652174
389,1987,30.296296296296298
390,1987,30.5
391,1987,30.5
392,1987,30.5
393,1987,30.5
394,1987,30.5
395,1987,30.5
396,1987,30.5
397,1987,30.5
398,1987,30.178571428571427
399,1987,30.576923076923077
400,1987,30.22222222222222
401,1987,30.46153846153846
402,1987,30.37037037037037
403,1987,30.0
404,1986,31.76
405,1986,31.76
406,1986,31.76923076923077
407,1986,31.96
408,1986,31.92
409,1986,31.8
410,1986,31.192307692307693
411,1986,31.53846153846154
412,1986,31.53846153846154
413,1986,31.115384615384617
414,1986,31.115384615384617
415,1986,31.115384615384617
416,1986,30.703703703703702
417,1986,30.814814814814813
418,1986,31.08
419,1986,31.115384615384617
420,1985,30.8
421,1985,30.384615384615383
422,1985,30.384615384615383
423,1985,30.6
424,1985,30.6
425,1985,30.6
426,1985,30.53846153846154
427,1985,30.53846153846154
428,1985,30.40740740740741
429,1985,30.333333333333332
430,1985,30.423076923076923
431,1985,30.96153846153846
432,1985,30.375
433,1985,30.692307692307693
434,1985,30.333333333333332
435,1985,30.72
436,1984,30.14814814814815
437,1984,30.14814814814815
438,1984,30.14814814814815
439,1984,30.142857142857142
